ID. Ils,IUPAC,FG,MW,Temperatura reducida,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,Tensión superficial
1,"3,3'-(1,12-dodecanediyl)bis[1-methylimidazolium] bis((perfluoroethyl)sulfonyl)amide",C28H36F20N6O8S4,1092.84,0.165586563,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7.653781975,2402.300279,1539.366659,1793.623794,9.968108283,0.160574447,1.593142776,35.6
2,"3,3'-(1,10-decanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",C26H32F20N6O8S4,1064.78,0.167067599,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7.349023726,2292.691271,1506.151864,1777.723524,10.53971291,0.163484992,1.432592242,36.3
3,"3,3'-(1,9-nonanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",C25H30F20N6O8S4,1050.76,0.167710302,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7.196644602,2237.886767,1489.315442,1770.910886,10.84897167,0.164891295,1.347964882,36.7
4,"3,3'-(1,6-hexanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",C22H24F20N6O8S4,1008.68,0.169221821,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6.739507228,2073.473256,1437.890076,1755.0928,11.88644073,0.168895444,1.088396369,37.4
5,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,2,2,2-pentafluoro-N-[(1,1,2,2,2-pentafluoroethyl)sulfonyl]ethanesulfonamide",C21H22F20N6O8S4,994.65,0.169578913,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6.587128104,2018.668752,1420.442921,1751.397002,12.27409682,0.170152273,1.002502131,37.8
6,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,C38H68F18P2,928.88,0.223127147,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.850950729,2582.117115,1026.328802,1337.84707,5.43224518,0.126100434,0.034036502,28.99
6,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,C38H68F18P2,928.88,0.22809782,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.850950729,2582.117115,1026.328802,1337.84707,5.43224518,0.126100434,0.034036502,28.68
6,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,C38H68F18P2,928.88,0.231080224,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.850950729,2582.117115,1026.328802,1337.84707,5.43224518,0.126100434,0.034036502,28.44
6,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,C38H68F18P2,928.88,0.234443837,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.850950729,2582.117115,1026.328802,1337.84707,5.43224518,0.126100434,0.034036502,28.14
6,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,C38H68F18P2,928.88,0.238966028,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.850950729,2582.117115,1026.328802,1337.84707,5.43224518,0.126100434,0.034036502,27.8
